Country,Disaster_Type,Severity,Evacuation_Capacity,Available_Shelters
Turkmenistan,Drought,5,1355,7
Bolivia,Earthquake,2,8233,2
Austria,Earthquake,1,6349,6
Vietnam,Flood,8,3403,9
Syrian Arab Republic,Flood,7,8522,5
Guadeloupe,Drought,3,1091,7
Guinea,Flood,2,9689,6
Cuba,Earthquake,1,3299,7
Turkmenistan,Storm,7,5970,1
Pakistan,Flood,2,7660,3
Paraguay,Drought,7,1902,6
Reunion,Storm,8,8427,7
Norway,Earthquake,2,3727,3
Germany,Flood,6,8268,10
Svalbard & Jan Mayen Islands,Drought,3,7555,2
Madagascar,Flood,1,1300,5
French Southern Territories,Earthquake,3,7400,9
Guyana,Flood,7,3781,9
Samoa,Earthquake,7,1846,4
Lebanon,Drought,4,2152,8
Svalbard & Jan Mayen Islands,Drought,6,4328,3
Samoa,Earthquake,5,7240,10
New Caledonia,Drought,8,2908,2
United Arab Emirates,Flood,4,7173,2
Colombia,Drought,3,8557,2
Saint Helena,Storm,7,3117,7
New Caledonia,Earthquake,10,5793,4
Holy See (Vatican City State),Flood,2,5714,7
Guernsey,Drought,6,9208,6
Sao Tome and Principe,Flood,2,2929,5
Wallis and Futuna,Storm,10,7874,3
Tajikistan,Drought,4,6351,8
Zimbabwe,Drought,2,2782,9
Faroe Islands,Earthquake,1,8600,9
Luxembourg,Drought,8,7100,1
Benin,Earthquake,4,7255,8
Sierra Leone,Drought,10,6708,9
El Salvador,Flood,7,2560,9
Austria,Storm,5,4845,8
United States Virgin Islands,Storm,5,1076,5
Norway,Drought,4,4627,7
Anguilla,Flood,6,4349,10
Lao People's Democratic Republic,Earthquake,5,8652,7
Slovenia,Storm,5,8665,9
Canada,Storm,10,7654,4
Zimbabwe,Drought,1,7508,8
Netherlands Antilles,Flood,1,2548,9
Italy,Drought,10,9837,5
Liberia,Flood,6,2660,3
Swaziland,Drought,1,7741,4
Christmas Island,Storm,7,3863,1
Djibouti,Flood,4,3042,5
South Georgia and the South Sandwich Islands,Flood,9,4846,9
Angola,Drought,10,1068,1
French Polynesia,Drought,7,6321,5
Lithuania,Flood,3,9096,3
Isle of Man,Earthquake,2,7090,7
Northern Mariana Islands,Storm,8,5571,3
Italy,Earthquake,8,2296,3
Guyana,Earthquake,7,2762,3
United States Minor Outlying Islands,Earthquake,8,8318,8
Slovakia (Slovak Republic),Drought,6,6245,10
Guernsey,Flood,10,2052,7
Guam,Earthquake,9,3673,10
Cayman Islands,Earthquake,9,9142,7
Benin,Storm,2,8013,1
Faroe Islands,Storm,5,2157,3
Guinea,Earthquake,7,2602,2
Gambia,Storm,5,6539,5
Cote d'Ivoire,Earthquake,3,9907,7
Haiti,Storm,8,3637,4
Korea,Flood,9,7115,9
Myanmar,Drought,6,8647,8
Denmark,Flood,8,6598,6
Thailand,Earthquake,10,8429,10
Turkmenistan,Earthquake,10,7235,1
Brunei Darussalam,Earthquake,7,5584,3
Peru,Earthquake,10,4226,2
Serbia,Flood,10,8452,1
Burkina Faso,Drought,4,1999,6
Turks and Caicos Islands,Earthquake,10,3471,10
Honduras,Flood,4,1105,8
Grenada,Storm,8,7831,4
El Salvador,Earthquake,3,5473,5
Bermuda,Storm,9,6558,5
Bahrain,Earthquake,2,3432,8
French Guiana,Earthquake,4,9459,2
Botswana,Flood,3,9371,8
Belgium,Drought,2,1611,8
Bolivia,Flood,8,1964,9
Uruguay,Flood,9,8962,10
Andorra,Storm,8,7641,6
Greece,Flood,6,9924,7
Palestinian Territory,Flood,8,6008,2
Belarus,Flood,8,2026,1
United States Virgin Islands,Drought,2,3273,1
Angola,Storm,6,3628,1
Palestinian Territory,Earthquake,7,2886,3
Philippines,Earthquake,6,8428,4
Madagascar,Storm,9,3383,2
Aruba,Storm,9,6247,7
Suriname,Flood,2,5373,5
British Indian Ocean Territory (Chagos Archipelago),Storm,6,4961,1
Norway,Flood,3,3050,9
Reunion,Flood,10,1701,9
Paraguay,Earthquake,6,7318,7
Syrian Arab Republic,Storm,2,6230,5
Haiti,Earthquake,9,3336,6
Trinidad and Tobago,Storm,2,9423,6
Ghana,Earthquake,8,4773,8
Saint Lucia,Flood,9,9577,8
Bhutan,Flood,6,4929,10
Liechtenstein,Earthquake,1,1264,4
Uganda,Flood,2,6679,6
Sudan,Drought,10,2024,6
France,Earthquake,6,1163,5
Iran,Earthquake,2,8194,10
Haiti,Storm,5,6310,1
Sao Tome and Principe,Flood,10,6999,10
Jordan,Drought,9,3996,6
Comoros,Storm,3,7815,7
Isle of Man,Earthquake,9,4713,8
Egypt,Drought,4,3307,1
Sweden,Drought,4,1259,9
Iran,Flood,8,6236,1
Israel,Earthquake,5,9356,8
Niue,Storm,9,7570,9
Lithuania,Drought,4,6353,9
Italy,Earthquake,4,3181,10
Guinea-Bissau,Flood,2,9886,5
Iran,Earthquake,8,4331,1
Venezuela,Flood,6,1670,4
Eritrea,Earthquake,6,2241,7
Ireland,Storm,8,1652,9
Mozambique,Earthquake,8,8684,4
Peru,Storm,4,5300,5
Ethiopia,Flood,3,5810,5
Saint Kitts and Nevis,Drought,2,1427,5
Croatia,Drought,3,5334,2
Anguilla,Storm,10,3803,4
Uzbekistan,Earthquake,6,9235,9
Nigeria,Earthquake,9,1711,9
Reunion,Earthquake,9,9755,4
Poland,Drought,9,1674,3
Saint Kitts and Nevis,Flood,3,9978,2
Malta,Flood,3,1002,5
Somalia,Flood,9,8846,8
Heard Island and McDonald Islands,Drought,5,4340,7
Brazil,Flood,2,2600,9
Tajikistan,Storm,2,5990,1
Malaysia,Storm,1,1764,2
Sudan,Drought,3,2795,2
Brazil,Earthquake,2,3010,4
Kazakhstan,Flood,8,5227,8
Philippines,Flood,1,4718,9
Malta,Storm,3,7548,5
Korea,Drought,10,5922,7
Jordan,Earthquake,4,1981,3
Saint Barthelemy,Flood,5,9367,7
Cote d'Ivoire,Drought,10,4764,10
Thailand,Drought,4,4642,1
Philippines,Flood,1,5206,1
Somalia,Earthquake,1,6714,3
Western Sahara,Flood,7,8658,10
Haiti,Drought,5,5165,10
Mozambique,Storm,4,8257,1
Czech Republic,Storm,4,1493,6
Greenland,Drought,2,6400,1
Slovenia,Drought,1,5452,5
Belgium,Earthquake,8,1889,8
Denmark,Drought,9,6197,8
Canada,Earthquake,7,2137,2
Congo,Drought,3,3609,9
Colombia,Earthquake,9,9323,7
Greece,Flood,9,6024,6
Bahamas,Storm,10,4187,2
Bhutan,Earthquake,7,2713,6
United Arab Emirates,Storm,5,4811,5
Portugal,Flood,2,1075,3
Panama,Earthquake,9,4089,7
Guyana,Flood,6,1068,2
Qatar,Earthquake,5,7447,2
Brunei Darussalam,Storm,4,1330,8
Norfolk Island,Flood,6,7566,10
Saint Helena,Drought,8,7772,6
Guyana,Flood,7,4317,5
Lao People's Democratic Republic,Earthquake,7,1870,2
Zimbabwe,Storm,10,2572,6
Bolivia,Drought,4,6597,8
Madagascar,Drought,4,9739,9
Singapore,Flood,3,4527,3
Congo,Flood,8,1960,5
Saint Pierre and Miquelon,Drought,4,2032,10
Niue,Flood,10,4011,8
Israel,Storm,10,4068,3
Christmas Island,Drought,6,4463,9
Tunisia,Drought,10,8629,3
Denmark,Flood,9,1082,2
Malta,Flood,4,4843,9
Yemen,Earthquake,9,8432,8
Tunisia,Flood,6,9239,2
Montenegro,Drought,10,2795,4
Bahrain,Drought,1,5396,6
Slovakia (Slovak Republic),Earthquake,8,3123,9
Hong Kong,Earthquake,1,7449,2
Bangladesh,Drought,2,5815,4
Tokelau,Earthquake,7,4174,10
Antigua and Barbuda,Drought,7,5670,2
Vietnam,Flood,5,8651,3
Guadeloupe,Drought,6,7482,8
Kenya,Earthquake,8,4390,6
Burkina Faso,Flood,7,2397,9
Seychelles,Drought,1,3467,6
Mozambique,Drought,2,1924,4
Cayman Islands,Earthquake,7,6051,3
Puerto Rico,Earthquake,7,7369,6
Qatar,Storm,5,6209,5
Honduras,Drought,3,1458,9
Portugal,Flood,3,2537,2
Gambia,Earthquake,5,8573,1
Ghana,Flood,5,6017,9
Mauritania,Storm,4,4722,9
Liechtenstein,Earthquake,2,3680,5
Congo,Flood,1,2449,1
Cook Islands,Drought,7,3258,5
Malaysia,Flood,7,6332,3
Qatar,Drought,1,2671,8
Russian Federation,Flood,10,9504,5
Turkey,Drought,9,9533,5
Kenya,Drought,10,6550,6
Yemen,Flood,6,6331,7
Saint Vincent and the Grenadines,Earthquake,3,4462,4
Turkey,Drought,10,2416,8
